n,short_name,cat.x,cat1,cat2,group,govern,year,id,paddd,paddd_type,paddd_type.1,paddd_status,paddd_enacted,paddd_events,trends,hits,area_km2,acc_50k,pop_50k,amp_div,bir_div,mam_div,tot_div,alt,tri,bioma,alt_r,Min_dist,Avg_dist,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat.y,esfera,area_km2_mod,pop_50k_mod,alt_r_mod,acc_50k_mod,tot_div_mod,Min_dist_mod,year_mod
171,PARNA DO IGUA<c7>U,Parque,PAR,PARNA,PI,federal,1939,0000.00.0172,1,downgrade,Proposed,Proposed,0,2,50,22500,1696.95,14,75522.9128642082,40,464,112,616,365.69713992415,14.6070354158944,Mata Atlantica,626,0,1455.176911,37,0,1451,79,0,1451,Parque,Federal,1.4051663548848823,0.7317387065170013,1.1446227974983214,-0.9989621147789406,-0.08901468638052398,-1.7718471866319445,4.62444373807487
153,PARNA DA TIJUCA,Parque,PAR,PARNA,PI,federal,1961,0000.00.0154,0,none,none,none,0,0,28,15200,39.58,4,698961.427881241,97,520,148,765,464.287141073658,72.7198813982522,Mata Atlantica,926,0,1129.301831,73,0,1451,55,0,1451,Parque,Federal,0.10693779985192213,1.8845860567921084,1.4086335784938795,-1.7850343195872909,0.8251485066209083,-1.7718471866319445,2.925357867265224
651,PARES DE MONTE ALEGRE,Parque,PAR,PE,PI,estadual,2001,0000.15.1032,0,none,none,none,0,0,0,10400,36.15,160,1918.50016582012,82,555,168,805,112.810572687225,15.0181718061674,Amazonia,277,381.898831,2237.048794,0,NA,NA,0,NA,NA,NA,NA,0.07623302885019066,-1.1709209842976367,0.595459566460701,0.6992054368108691,1.0402641627172111,1.2054939520008603,-0.16388917057049632
886,PARES DE PARACATU,Parque,PAR,PE,PI,estadual,2011,0000.31.2329,0,none,none,none,0,0,0,10100,63.98,17,4074.83609902859,54,380,139,573,895.434643143544,14.8343023255814,Cerrado,289,124.0167125,1112.152276,0,NA,NA,0,NA,NA,NA,NA,0.27063023706690637,-0.7807865015945761,0.6239936963967525,-0.8685085329180784,-0.3943073136968467,0.6451819213147675,-0.9362009300294264
183,PARNA DO ITATIAIA,Parque,PAR,PARNA,PI,federal,1937,0000.00.0184,0,none,none,none,0,0,27,9320,280.85,15,42262.2329549789,102,518,162,782,1880.63945099419,58.835892134436,Mata Atlantica,2184,47.36810991,1070.589738,11,0,1451,28,0,1451,Parque,Federal,0.7807896112993492,0.43096560020462144,1.9875681255956612,-0.9527839151274649,0.9179138496030794,0.16982682788890227,4.7789060899666564
1053,PARES DA SERRA DO MAR,Parque,PAR,PE,PI,estadual,1977,0000.35.0798,0,none,none,none,0,0,15,8860,3223.38,1,1021716.660923,106,515,144,765,575.698187513305,45.6609309966306,Mata Atlantica,1656,0,1050.741883,6,0,1451,26,0,1451,Parque,Estadual,1.6281445654691065,2.081279063039641,1.8008010108627204,-2.440652942534779,0.8251485066209083,-1.7718471866319445,1.6896590521309358
143,PARNA DA SERRA DA CANASTRA,Parque,PAR,PARNA,PI,federal,1972,0000.00.0144,1,downgrade,downgrade,Enacted,1,4,13,7290,1978.11,32,25014.1753743887,58,439,157,654,1151.26521915584,31.1156402191558,Cerrado,808,117.0574364,1035.982105,10,0,1451,121,0,1451,Parque,Federal,1.4584408868078413,0.15925629081381507,1.3167009716698197,-0.4348100275942046,0.1635639109008296,0.616510556492029,2.0758149318604007
185,PARNA MARINHO DE FERNANDO DE NORONHA,Parque,PAR,PARNA,PI,federal,1988,0000.00.0186,0,none,none,NA,0,0,0,6930,109.27,NA,732.871810913086,NA,24,NA,NA,46.4539007092199,28.2120901639344,Marinho,214,356.5699027,2141.968445,3,0,1451,704,0,1451,Parque,Federal,0.45450526348831616,-1.669066028782117,0.4219427220158576,NA,NA,1.1712342222615053,0.8401161167261127
1225,PARES RIO CANOAS,Parque,PAR,PE,PI,estadual,2004,0000.42.0787,0,none,none,none,0,0,0,6240,11.34,175,7490.06617128849,38,366,106,510,815.234309623431,24.6637029288703,Mata Atlantica,239,211.8264038,1502.908447,0,NA,NA,0,NA,NA,NA,NA,-0.3069588429045174,-0.46545304041631014,0.4962161248037652,0.7629431374738641,-0.8856340667069135,0.9115057373533553,-0.39558269840817534
138,PARNA DA CHAPADA DOS VEADEIROS,Parque,PAR,PARNA,PI,federal,1961,0000.00.0139,1,downsize,downsize,Enacted,1,3,8,5810,647.95,146,1666.72943717241,55,343,139,537,1169.48176291793,26.2484602463606,Cerrado,1161,158.976149,1212.370371,31,0,1451,122,0,1451,Parque,Federal,1.0707537357464327,-1.243766640968502,1.5611928581713863,0.6341138781171224,-0.6680360053431691,0.7686138395941685,2.925357867265224
