Código UNEP-WCMC (World Conservation Monitoring Centre),codCnuc,Nome do Órgão Gestor,nomeUC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN (União Internacional para a Conservação da Natureza e dos Recursos Naturais),Municípios Abrangidos,Em conformidade com o SNUC,Estados Abrangidos,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,esferaAdmin,siglaGrupo,UF,municipios,biomaIbge,biomaCrl,coordRegional,unidOrg,codCnucOld,linkOld,nomeUCOld,siglaNomeUCOld,siglaUCOld,nomeClasseOld,grupoOld,anoCriacaoOld,atoLegalOld,"DS_HISTO10,C,254Old",nomeCoordenacaoOld
115868,0000.00.0001 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM ,Federal ,Área de Proteção Ambiental ,Category V ,Governador Celso Ramos (SC) ,Sim ,SC ,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,1992,APA,4436.59022746177,36563.4552,DEC  528 de 20/05/1992,Federal,US,SC,Governador Celso Ramos.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR9 Florianópolis/SC,886,1,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/marinho/unidades-de-conservacao-marinho/2239-apa-de-anhatomirim target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental Anhatomirim,APA Anhatomirim,APA,Área de Proteção Ambiental,US,1992,DEC  528 de 20/05/1992,"DEC 528 de 20/05/1992, criação",Florianópolis/SC (CR9)
351741,0000.00.0002 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU ,Federal ,Área de Proteção Ambiental ,Category V ,"Bonito de Minas (MG), Cônego Marinho (MG), Itacarambi (MG), JANUARIA (MG) ",Sim ,MG ,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,1989,APA,143355.585718111,225638.8147,DEC  98.182 de 26/09/1989,Federal,US,MG,"Bonito de Minas, Cônego Marinho, Januária, Itacarambi, Miravânia, São João das Missões.",CERRADO,CAATINGA e CERRADO,CR11 Lagoa Santa/MG,732,2,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/cerrado/unidades-de-conservacao-cerrado/2054-apa-cavernas-do-peruacu target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental Cavernas do Peruaçu,APA Cavernas do Peruaçu,APA,Área de Proteção Ambiental,US,1989,DEC  98.182 de 26/09/1989,"DEC 98.182 de 26/09/1989, criação",Lagoa Santa/MG (CR11)
19751,0000.00.0003 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO ,Federal ,Área de Proteção Ambiental ,Category V ,"Brasília (DF), Padre Bernardo (GO), Águas Lindas de Goiás (GO) ",Sim ,"DF, GO ",ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,1983,APA,41783.6139088397,93435.203,DEC  88.940 de 07/11/1983,Federal,US,GO/DF,"Brasília, Águas Lindas de Goiás, Padre Bernardo.",CERRADO,CERRADO,CR10 Goiânia/GO,698,3,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/cerrado/unidades-de-conservacao-cerrado/2055-apa-da-bacia-do-rio-descoberto target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental da Bacia do Rio Descoberto,APA Bacia do Rio Descoberto,APA,Área de Proteção Ambiental,US,1983,DEC  88.940 de 07/11/1983,"DEC 88.940 de 07/11/1983, criação",Lagoa Santa/MG (CR11)
19752,0000.00.0004 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU ,Federal ,Área de Proteção Ambiental ,Category V ,Brasília (DF) ,Sim ,DF ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,1983,APA,82680.8036134318,176700.7091,DEC  88.940 de 07/11/1983,Federal,US,DF,Brasília.,CERRADO,CERRADO,CR10 Goiânia/GO,699,4,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/cerrado/unidades-de-conservacao-cerrado/2056-apa-da-bacia-do-rio-sao-bartolomeu target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental da Bacia do Rio São Bartolomeu,APA Bacia do Rio São Bartolomeu,APA,Área de Proteção Ambiental,US,1983,DEC  88.940 de 07/11/1983,"LEI 9.262 de 12/01/1996, criação",Lagoa Santa/MG (CR11)
351727,0000.00.0005 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO ,Federal ,Área de Proteção Ambiental ,Category V ,"Silva Jardim (RJ), Rio das Ostras (RJ), Rio Bonito (RJ), Casimiro de Abreu (RJ), Cachoeiras de Macacu (RJ), Cabo Frio (RJ), Araruama (RJ) ",Sim ,RJ ,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO,2002,APA,150374.606768008,369887.7807,DEC S/N de 27/06/2002,Federal,US,RJ,"Silva Jardim, Cachoeiras de Macacu, Rio Bonito, Araruama, Casimiro de Abreu, Rio das Ostras, Cabo Frio, Macaé, Nova Friburgo.",MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ,832,5,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/mata-atlantica/unidades-de-conservacao-mata-atlantica/2169-apa-da-bacia-do-rio-sao-joaomico-leao-dourado target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental da Bacia do Rio São João/Mico-Leão-Dourado,APA Bacia do Rio São João/Mico-Leão-Dourado,APA,Área de Proteção Ambiental,US,2002,DEC S/N de 27/06/2002,"DEC/SN 27/06/2002, criação",Lagoa Santa/MG (CR11)
351716,0000.00.0006 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA ,Federal ,Área de Proteção Ambiental ,Category V ,"Florianópolis (SC), Garopaba (SC), Içara (SC), Imbituba (SC), Jaguaruna (SC), Laguna (SC), Palhoça (SC), Paulo Lopes (SC), Tubarão (SC) ",Sim ,SC ,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,2000,APA,154867.403488272,405831.5482,DEC S/N de 14/09/2000,Federal,US,SC,"Florianópolis, Palhoça, Garopaba, Paulo Lopes, Imbituba, Laguna, Jaguaruna, Içara, Tubarão.",MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR9 Florianópolis/SC,887,6,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/marinho/unidades-de-conservacao-marinho/2236-apa-da-baleia-franca target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental da Baleia Franca,APA Baleia Franca,APA,Área de Proteção Ambiental,US,2000,DEC S/N de 14/09/2000,"DEC/SN 14/09/2000, criação",Florianópolis/SC (CR9)
115993,0000.00.0007 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE ,Federal ,Área de Proteção Ambiental ,Category V ,"Baía da Traição (PB), Lucena (PB), Marcação (PB), Rio Tinto (PB) ",Sim ,PB ,ÁREA DE PROTEÇÃO AMBIENTAL DA BARRA DO RIO MAMANGUAPE,1993,APA,14917.7912831451,81747.9429,DEC  924 de 10/09/1993; DEC S;N 7/04/1998,Federal,US,PB,"Rio Tinto, Lucena, Marcação, Baía da Traição.",MATA ATLÂNTICA,MARINHO COSTEIRO e MATA ATLÂNTICA,CR6 Cabedelo/PB,799,7,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/marinho/unidades-de-conservacao-marinho/2237-apa-da-barra-do-mamanguape target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental da Barra do Rio Mamanguape,APA Barra do Rio Mamanguape,APA,Área de Proteção Ambiental,US,1993,DEC  924 de 10/09/1993; DEC S;N 7/04/1998,"DEC 924 de 10/09/1993, criação",Cabedelo/PB (CR6)
198356,0000.00.0008 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE ,Federal ,Área de Proteção Ambiental ,Category V ,"Abaiara (CE), Araripe (CE), Barbalha (CE), Brejo Santo (CE), Campos Sales (CE), Crato (CE), Jardim (CE), Jati (CE), Missão Velha (CE), Nova Olinda (CE), Penaforte (CE), Porteiras (CE), Potengi (CE), Salitre (CE), Santana do Cariri (CE), Araripina (PE), Bodocó (PE), Cedro (PE), Exu (PE), Ipubi (PE), Serrita (PE), Moreilândia (PE), Trindade (PE), Fronteiras (PI), Padre Marcos (PI), São Julião (PI), Simões (PI), Caldeirão Grande do Piauí (PI), Alegrete do Piauí (PI), Marcolândia (PI), Caridade do Piauí (PI), Curral Novo do Piauí (PI), Francisco Macedo (PI) ",Sim ,"CE, PE, PI ",ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DO ARARIPE,1997,APA,972605.181973583,2217957.5803,DEC S/N de 04/08/1997,Federal,US,PI/CE/PE,"Barbalha, Brejo Santo, Campos Sales, Crato, Jardim, Jati, Missão Velha, Nova Olinda, Penaforte, Abaiara.",CAATINGA,CAATINGA,CR6 Cabedelo/PB,686,8,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/caatinga/unidades-de-conservacao-caatinga/2110-apa-da-chapada-do-araripe target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental Chapada do Araripe,APA Chapada do Araripe,APA,Área de Proteção Ambiental,US,1997,DEC S/N de 04/08/1997,"DEC/SN 04/08/1997, criação",Cabedelo/PB (CR6)
31752,0000.00.0009 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS ,Federal ,Área de Proteção Ambiental ,Category V ,"Tamandaré (PE), Barra de Santo Antônio (AL), Japaratinga (AL), Maceió (AL), Maragogi (AL), Passo de Camaragibe (AL), Porto Calvo (AL), Porto de Pedras (AL), São Luís do Quitunde (AL), São Miguel dos Milagres (AL), Paripueira (AL), Rio Formoso (PE), São José da Coroa Grande (PE), Barreiros (PE) ",Sim ,"PE, AL ",ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS,1997,APA,406085.926417196,614654.9247,DEC S/N de 23/10/1997,Federal,US,PE/AL,"Maceió, Paripueira, Barra de Santo Antônio, Passo de Camaragibe, São Miguel dos Milagres, Porto de Pedras, Barreiros, Japarapatinga, Maragogi, Porto Calvo, Rio Formoso, São José da Coroa Grande, São Luis do Quitinde, Tamandaré.",MARINHO COSTEIRO,MARINHO COSTEIRO,CR6 Cabedelo/PB,622,9,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/marinho/unidades-de-conservacao-marinho/2238-apa-da-costa-dos-corais target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental da Costa dos Corais,APA Costa dos Corais,APA,Área de Proteção Ambiental,US,1997,DEC S/N de 23/10/1997,"DEC/SN 23/10/1997, criação",Cabedelo/PB (CR6)
16105,0000.00.0010 ,Instituto Chico Mendes de Conservação da Biodiversidade ,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS ,Federal ,Área de Proteção Ambiental ,Category V ,"Petrópolis (RJ), Magé (RJ), Guapimirim (RJ), Duque de Caxias (RJ) ",Sim ,RJ ,ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS,1982,APA,68224.2947923958,331888.7566,DEC  87.561 de 13/09/1982; DEC  527 de 20/05/1992,Federal,US,RJ,"Petrópolis, Teresópolis, Guapimirim, Magé, Duque de Caxias, Miguel Pereira, Cachoeiras de Macacu.",MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ,835,10,<a href=http://www.icmbio.gov.br/portal/unidadesdeconservacao/biomas-brasileiros/mata-atlantica/unidades-de-conservacao-mata-atlantica/2178-apa-de-petropolis target=_blank>Clique aqui para mais informações no Portal</a>,Área de Proteção Ambiental de Petrópolis,APA Petrópolis,APA,Área de Proteção Ambiental,US,1982,DEC  87.561 de 13/09/1982; DEC  527 de 20/05/1992,"Dec nº 87.561, de 13 de setembro de 1982  e  Dec nº 527 de 20 de maio de 1992",Rio de Janeiro/RJ (CR8)
