Código UNEP-WCMC (World Conservation Monitoring Centre),codCnuc,Nome do Órgão Gestor,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN (União Internacional para a Conservação da Natureza e dos Recursos Naturais),Municípios Abrangidos,Em conformidade com o SNUC,Estados Abrangidos,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,esferaAdmin,siglaGrupo,UF,municipios,biomaIbge,biomaCrl,coordRegional,unidOrg,codCnucOld,linkOld,nomeUCOld,siglaNomeUCOld,siglaUCOld,nomeClasseOld,grupoOld,anoCriacaoOld,atoLegalOld,"DS_HISTO10,C,254Old",nomeCoordenacaoOld
33705,0000.11.0739 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO RIO VERMELHO (C) ,Estadual ,Floresta ,Category VI ,Porto Velho (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33708,0000.11.0740 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MACHADO ,Estadual ,Floresta ,Category VI ,"Machadinho D'Oeste (RO), Porto Velho (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352162,0000.11.0743 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA ANGELIM ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352160,0000.11.0744 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA MARACATIARA ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352171,0000.11.0745 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA FREIJÓ ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352172,0000.11.0746 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA PIQUIÁ ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0747 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA MOGNO ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352174,0000.11.0748 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA DO ITAÚBA ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352163,0000.11.0749 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA IPÊ ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352180,0000.11.0750 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA JATOBÁ ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352161,0000.11.0751 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA MASSARANDUBA ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352164,0000.11.0752 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA SUCUPIRA ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352173,0000.11.0753 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA CASTANHEIRA ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352168,0000.11.0754 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA AQUARIQUARA ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352170,0000.11.0755 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA ROXINHO ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352169,0000.11.0756 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA SERINGUEIRA ,Estadual ,Reserva Extrativista ,Category VI ,"Machadinho D'Oeste (RO), Vale do Anari (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352167,0000.11.0757 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA GARROTE ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
41089,0000.11.0758 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,"FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MADEIRA ""B"" ",Estadual ,Floresta ,Category VI ,Porto Velho (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0759 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO MUTUM ,Estadual ,Floresta ,Category VI ,Cujubim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352179,0000.11.0760 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO TUCANO ,Estadual ,Floresta ,Category VI ,Cujubim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0761 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO GAVIÃO ,Estadual ,Floresta ,Category VI ,Cujubim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0763 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO CEDRO ,Estadual ,Floresta ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33608,0000.11.0764 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,ESTAÇÃO ECOLÓGICA SAMUEL ,Estadual ,Estação Ecológica ,Category Ia ,Candeias do Jamari (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0765 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,PARQUE ESTADUAL DE GUAJARÁ-MIRIM ,Estadual ,Parque ,Category II ,"Guajará-Mirim (RO), Nova Mamoré (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33611,0000.11.0767 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA BIOLÓGICA RIO OURO PRETO ,Estadual ,Reserva Biológica ,Category Ia ,Guajará-Mirim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33609,0000.11.0768 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS ,Estadual ,Estação Ecológica ,Category Ia ,Porto Velho (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33610,0000.11.0770 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA BIOLÓGICA TRAÇADAL ,Estadual ,Reserva Biológica ,Category Ia ,Guajará-Mirim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352181,0000.11.0771 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA CURRALINHO ,Estadual ,Reserva Extrativista ,Category VI ,Costa Marques (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33716,0000.11.0772 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA RIO PACAÁS NOVOS ,Estadual ,Reserva Extrativista ,Category VI ,Guajará-Mirim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352182,0000.11.0773 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA PEDRAS NEGRAS ,Estadual ,Reserva Extrativista ,Category VI ,"Alta Floresta D'Oeste (RO), Costa Marques (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33617,0000.11.0774 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,PARQUE ESTADUAL SERRA DOS REIS ,Estadual ,Parque ,Category II ,Costa Marques (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0775 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA RIO CAUTÁRIO ,Estadual ,Reserva Extrativista ,Category VI ,"Costa Marques (RO), Guajará-Mirim (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.0776 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA JACI-PARANÁ ,Estadual ,Reserva Extrativista ,Category VI ,"Buritis (RO), Nova Mamoré (RO), Porto Velho (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
33714,0000.11.0777 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,RESERVA EXTRATIVISTA RIO PRETO-JACUNDÁ ,Estadual ,Reserva Extrativista ,Category VI ,Machadinho D'Oeste (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
352176,0000.11.0778 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO PERIQUITO ,Estadual ,Floresta ,Category VI ,Cujubim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.1495 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,PARQUE ESTADUAL DE CORUMBIARA ,Estadual ,Parque ,Category II ,"Alta Floresta D'Oeste (RO), Alto Alegre do Parecis (RO), Cerejeiras (RO), Corumbiara (RO), Pimenteiras do Oeste (RO) ",Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.2059 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO ARARAS ,Estadual ,Floresta ,Category VI ,Cujubim (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.11.2065 ,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia ,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA ,Estadual ,Área de Proteção Ambiental ,Category V ,Porto Velho (RO) ,Sim ,RO ,,,,,,,,,,,,,,,,,,,,,,,,,
351842,0000.12.0939 ,Secretaria de Estado de Meio Ambiente do Acre ,PARQUE ESTADUAL CHANDLESS ,Estadual ,Parque ,Category II ,"Santa Rosa do Purus (AC), Sena Madureira (AC), Manoel Urbano (AC) ",Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.0940 ,Secretaria de Estado de Meio Ambiente do Acre ,ÁREA DE PROTEÇÃO AMBIENTAL IGARAPÉ SÃO FRANCISCO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Bujari (AC), Rio Branco (AC) ",Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.0941 ,Secretaria de Estado de Meio Ambiente do Acre ,ÁREA DE PROTEÇÃO AMBIENTAL LAGO DO AMAPÁ ,Estadual ,Área de Proteção Ambiental ,Category V ,Rio Branco (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.1983 ,Secretaria de Estado de Meio Ambiente do Acre ,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAPIIM PENTECOSTE ,Estadual ,Área de Relevante Interesse Ecológico ,Category IV ,Mâncio Lima (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2041 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUDAL DO RIO LIBERDADE ,Estadual ,Floresta ,Category VI ,Tarauacá (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2044 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUAL DO RIO GREGóRIO ,Estadual ,Floresta ,Category VI ,Tarauacá (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2046 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUAL DO MOGNO ,Estadual ,Floresta ,Category VI ,Tarauacá (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2048 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUAL DO ANTIMARY ,Estadual ,Floresta ,Category VI ,Sena Madureira (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
