cod_cnuc,mean,na_rows,total_days
0000.00.0001,0.6331811263318112,1,1315
0000.00.0002,1.2836501901140684,0,1315
0000.00.0007,0.8028919330289194,1,1315
0000.00.0010,2.0517897943640517,2,1315
0000.00.0011,2.1537290715372905,1,1315
0000.00.0012,0.779467680608365,0,1315
0000.00.0013,0.9650190114068441,0,1315
0000.00.0015,2.597718631178707,0,1315
0000.00.0017,1.0395437262357414,0,1315
0000.00.0018,1.5928462709284628,1,1315
0000.00.0019,1.2920110192837466,0,726
0000.00.0021,0.5213089802130898,1,1315
0000.00.0022,1.9794520547945205,1,1315
0000.00.0029,1.2427586206896553,0,725
0000.00.0033,1.5546116504854368,1,825
0000.00.0034,7.6,0,1315
0000.00.0036,1.3930885529157668,1,927
0000.00.0037,15.909541511771994,0,807
0000.00.0038,1.4713603818615753,1,839
0000.00.0040,1.238285144566301,0,1003
0000.00.0043,0.6817640047675805,0,839
0000.00.0048,0.9351944167497508,0,1003
0000.00.0049,6.511787072243346,0,1315
0000.00.0050,0.6950570342205323,0,1315
0000.00.0051,0.6273764258555133,0,1315
0000.00.0052,0.7520912547528517,0,1315
0000.00.0053,2.046277665995976,1,995
0000.00.0054,0.6349809885931559,0,1315
0000.00.0055,0.667680608365019,0,1315
0000.00.0057,1.63574144486692,0,1315
0000.00.0058,0.7254752851711027,0,1315
0000.00.0059,0.8475609756097561,1,821
0000.00.0060,1.6012176560121765,1,1315
0000.00.0061,1.3110266159695818,0,1315
0000.00.0062,1.126331811263318,1,1315
0000.00.0063,0.8051750380517504,1,1315
0000.00.0064,0.6357414448669202,0,1315
0000.00.0065,1.0752851711026616,0,1315
0000.00.0066,0.6078431372549019,0,714
0000.00.0067,0.8242009132420092,1,1315
0000.00.0068,0.8340943683409436,1,1315
0000.00.0069,0.5391634980988593,0,1315
0000.00.0070,1.8433460076045627,0,1315
0000.00.0071,0.769406392694064,1,1315
0000.00.0072,0.6927756653992395,0,1315
0000.00.0073,0.7576126674786845,0,821
0000.00.0075,1.0250950570342205,0,1315
0000.00.0076,0.8930753564154786,1,983
0000.00.0082,1.9447287615148414,2,979
0000.00.0083,2.276530612244898,2,982
0000.00.0085,0.9160696008188332,0,977
0000.00.0088,3.6595310907237515,0,981
0000.00.0089,1.829657794676806,0,1315
0000.00.0091,0.5671462829736211,1,835
0000.00.0095,1.7604485219164119,1,982
0000.00.0096,0.6008146639511202,0,982
0000.00.0097,0.6231155778894473,0,995
0000.00.0098,0.5595794392523364,0,856
0000.00.0099,0.8008171603677222,0,979
0000.00.0100,0.4775051124744376,0,978
0000.00.0101,0.4729241877256318,0,831
0000.00.0104,2.0483091787439616,1,829
0000.00.0105,0.5166498486377397,0,991
0000.00.0107,3.61482254697286,1,959
0000.00.0109,3.1676891615541924,1,979
0000.00.0112,3.3663484486873507,1,839
0000.00.0113,0.7571580063626723,1,944
0000.00.0114,1.2573158425832491,0,991
0000.00.0116,0.8343409915356711,1,828
0000.00.0120,0.5202913631633714,0,961
0000.00.0121,1.7838452787258248,1,880
0000.00.0122,0.6898989898989899,0,990
0000.00.0124,0.9734964322120285,0,981
0000.00.0126,0.4625,0,880
0000.00.0127,11.556653992395438,0,1315
0000.00.0129,0.6405005688282139,1,880
0000.00.0132,0.6944444444444444,1,685
0000.00.0133,1.7458128078817734,1,1016
0000.00.0134,0.32496513249651326,1,718
0000.00.0135,3.726235741444867,0,1315
0000.00.0136,12.02661596958175,0,1315
0000.00.0137,57.80228136882129,0,1315
0000.00.0138,10.327756653992395,0,1315
0000.00.0139,28.114828897338402,0,1315
0000.00.0140,2.8182509505703424,0,1315
0000.00.0141,3.3767123287671232,1,1315
0000.00.0143,3.7079847908745247,0,1315
0000.00.0144,9.434980988593155,0,1315
0000.00.0145,30.888212927756655,0,1315
0000.00.0146,2.399588053553038,0,971
0000.00.0149,5.452471482889734,0,1315
0000.00.0150,4.425855513307985,0,1315
0000.00.0151,1.617490494296578,0,1315
0000.00.0152,21.959695817490495,0,1315
0000.00.0153,4.7269961977186314,0,1315
0000.00.0154,74.0638783269962,0,1315
0000.00.0155,11.292015209125475,0,1315
0000.00.0156,3.3072243346007606,0,1315
0000.00.0157,1.858555133079848,0,1315
0000.00.0160,5.429657794676806,0,1315
0000.00.0161,3.0593155893536124,0,1315
0000.00.0162,13.705703422053231,0,1315
0000.00.0163,2.895057034220532,0,1315
0000.00.0164,1.5049429657794677,0,1315
0000.00.0165,2.580228136882129,0,1315
0000.00.0166,5.057034220532319,0,1315
0000.00.0167,2.8106463878326995,0,1315
