cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0001,0.8786206896551724,1,1451,1.6358620689655172,1,1451,Área de Proteção Ambiental,Federal
0000.00.0002,1.293793103448276,1,1451,0.47586206896551725,1,1451,Área de Proteção Ambiental,Federal
0000.00.0007,0.7951724137931034,1,1451,2.477601654031702,0,1451,Área de Proteção Ambiental,Federal
0000.00.0010,0.7560303239145417,0,1451,0.9262068965517242,1,1451,Área de Proteção Ambiental,Federal
0000.00.0011,0.9517574086836664,0,1451,1.523776705720193,0,1451,Área de Proteção Ambiental,Federal
0000.00.0013,0.9924190213645762,0,1451,0.733103448275862,1,1451,Área de Proteção Ambiental,Federal
0000.00.0016,0.9758620689655172,1,1451,0.1724137931034483,1,1451,Área de Proteção Ambiental,Federal
0000.00.0017,1.0731034482758621,1,1451,2.737422467263956,0,1451,Área de Proteção Ambiental,Federal
0000.00.0019,1.4559164733178653,0,862,5.191358024691358,0,162,Área de Proteção Ambiental,Federal
0000.00.0020,0.7512060647829083,0,1451,7.948311509303928,0,1451,Área de Proteção Ambiental,Federal
0000.00.0021,0.5651274982770503,0,1451,1.6402481047553412,0,1451,Área de Proteção Ambiental,Federal
0000.00.0027,0.6512749827705031,0,1451,1.2274293590627154,0,1451,Área de Proteção Ambiental,Federal
0000.00.0030,0.2742504409171076,2,1136,0.3020689655172414,1,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0032,0.7702464788732394,0,1136,0.4917241379310345,1,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0034,7.561681598897312,0,1451,29.832529290144727,0,1451,Monumento Natural,Federal
0000.00.0036,0.4430856067732832,0,1063,0.41379310344827586,1,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0037,17.00742311770944,0,943,156.9944865609924,0,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0038,0.4075975359342916,1,975,0.506896551724138,1,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0040,1.257243195785777,0,1139,5.700206753962784,0,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0043,0.6940451745379876,1,975,0.41172413793103446,1,1451,Área de Relevante Interesse Ecológico,Federal
0000.00.0049,6.920055134390076,0,1451,17.76774638180565,0,1451,Parque,Federal
0000.00.0050,0.6944827586206896,1,1451,0.6986206896551724,1,1451,Estação Ecológica,Federal
0000.00.0052,0.7579310344827587,1,1451,2.0103376981392143,0,1451,Estação Ecológica,Federal
0000.00.0053,0.9328028293545535,0,1131,0.5779310344827586,1,1451,Estação Ecológica,Federal
0000.00.0054,0.6616126809097175,0,1451,2.436250861474845,0,1451,Estação Ecológica,Federal
0000.00.0056,0.7691247415575465,0,1451,0.4390075809786354,0,1451,Estação Ecológica,Federal
