codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0001,Anhatomirim Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0002,Cavernas do Peruaçu Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0007,Barra do Rio Mamanguape Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0010,Petrópolis Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0011,Serra da Mantiqueira Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0012,Serra de Tabatinga Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0013,Cairuçu Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0016,Guapimirim Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0017,Guaraqueçaba Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0018,Piaçabuçu Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0019,Delta do Parnaíba Environmental Protection Area,2015-07-01,2019-06-20,2017-02-09
0000.00.0020,Carste de Lagoa Santa Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0021,Ibirapuitã Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0022,Igarapé Gelado Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0027,Morro da Pedreira Environmental Protection Area,2015-07-01,2019-06-20,2008-03-21
0000.00.0029,Serra da Ibiapaba Environmental Protection Area,2015-07-01,2019-06-20,2017-02-10
0000.00.0030,Buriti de Vassununga Area of Relevant Ecological Interest,2015-07-01,2019-06-20,2016-05-11
0000.00.0032,Cerrado Pé de Gigante Area of Relevant Ecological Interest,2015-07-01,2019-06-20,2016-05-11
0000.00.0034,Ilhas Cagarras,2015-07-01,2019-06-20,2004-12-03
0000.00.0036,Ilha do Ameixal Area of Relevant Ecological Interest,2015-07-01,2019-06-20,2016-07-23
0000.00.0037,Ilhas Queimada Pequena e Queimada Grande Area of Relevant Ecological Interest,2015-07-01,2019-06-20,2016-11-20
0000.00.0038,Javari-Buriti Area of Relevant Ecological Interest,2015-07-01,2019-06-20,2016-10-19
0000.00.0040,Mata de Santa Genebra,2015-07-01,2019-06-20,2016-05-08
0000.00.0043,Biological Dynamics of Forest Fragments Project Area of Relevant Ecological Interest,2015-07-01,2019-06-20,2016-10-19
0000.00.0047,Terra do Meio Ecological Station,2015-07-01,2019-06-20,2016-05-29
