codCnuc,nomeUC,duplicate,cat,esfera,idEnWikiData,enNameWiki,enWikiPage,idPtWikiData,ptNameWiki,ptWikiPage,lastVerification
0000.00.0001,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,NA,Área de Proteção Ambiental,Federal,Q4764339,Anhatomirim Environmental Protection Area,https://en.wikipedia.org/wiki/Anhatomirim_Environmental_Protection_Area,Q4764339,Área de Proteção Ambiental de Anhatomirim,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_de_Anhatomirim,17875
0000.00.0002,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,NA,Área de Proteção Ambiental,Federal,Q5055056,Cavernas do Peruaçu Environmental Protection Area,https://en.wikipedia.org/wiki/Cavernas_do_Perua%C3%A7u_Environmental_Protection_Area,Q5055056,Área de Proteção Ambiental Cavernas do Peruaçu,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Cavernas_do_Perua%C3%A7u,17875
0000.00.0003,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,NA,Área de Proteção Ambiental,Federal,NA,NA,NA,NA,NA,NA,17875
0000.00.0004,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,NA,Área de Proteção Ambiental,Federal,NA,NA,NA,Q20052631,Área de Proteção Ambiental Bacia do Cobre - São Bartolomeu,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Bacia_do_Cobre_-_S%C3%A3o_Bartolomeu,17875
0000.00.0005,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,NA,Área de Proteção Ambiental,Federal,NA,NA,NA,Q10395945,Área de Proteção Ambiental da Bacia do Rio São João - Mico Leão,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_da_Bacia_do_Rio_S%C3%A3o_Jo%C3%A3o_-_Mico_Le%C3%A3o,17875
0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,NA,Área de Proteção Ambiental,Federal,NA,NA,NA,Q16493397,Área de Proteção Ambiental da Baleia Franca,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_da_Baleia_Franca,17875
0000.00.0007,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,NA,Área de Proteção Ambiental,Federal,Q4863146,Barra do Rio Mamanguape Environmental Protection Area,https://en.wikipedia.org/wiki/Barra_do_Rio_Mamanguape_Environmental_Protection_Area,Q4863146,Área de Proteção Ambiental da Barra do Rio Mamanguape,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_da_Barra_do_Rio_Mamanguape,17875
0000.00.0008,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,NA,Área de Proteção Ambiental,Federal,NA,NA,NA,NA,NA,NA,17875
0000.00.0009,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS,NA,Área de Proteção Ambiental,Federal,NA,NA,NA,NA,NA,NA,17875
0000.00.0010,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,NA,Área de Proteção Ambiental,Federal,Q7179247,Petrópolis Environmental Protection Area,https://en.wikipedia.org/wiki/Petr%C3%B3polis_Environmental_Protection_Area,Q7179247,Área de Proteção Ambiental de Petrópolis,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_de_Petr%C3%B3polis,17875
