codCnuc,,nomeUC,duplicate,cat,esfera,idEnWikiData,enNameWiki,enWikiPage,idPtWikiData,ptNameWiki,ptWikiPage,lastVerification,socioambientalPage,idWDPA,protectedplanetPage,Obs
0000.35.1695,,APA CABREUVA,,Área de Proteção Ambiental,Estadual,NA,NA,NA,NA,NA,NA,,,,,
0000.35.1696,,APA CAJAMAR,,Área de Proteção Ambiental,Estadual,NA,NA,NA,NA,NA,NA,,,,,
0000.35.1697,,APA CAJATI,,Área de Proteção Ambiental,Estadual,Q28220905,Cajati Environmental Protection Area,https://en.wikipedia.org/wiki/Cajati_Environmental_Protection_Area,NA,NA,NA,,,,,
0000.35.1698,,APA CAMPOS DO JORDÃO,,Área de Proteção Ambiental,Estadual,Q28220490,Campos do Jordão Environmental Protection Area,https://en.wikipedia.org/wiki/Campos_do_Jord%C3%A3o_Environmental_Protection_Area,NA,NA,NA,,,,,
0000.35.1972,,APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU,,Área de Proteção Ambiental,Estadual,NA,NA,NA,Q48868254,"Área de Proteção Ambiental Corumbataí, Botucatu e Tejupá","https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Corumbata%C3%AD,_Botucatu_e_Tejup%C3%A1",,,,,
0000.35.1973,,APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPá,,Área de Proteção Ambiental,Estadual,NA,NA,NA,Q48868254,"Área de Proteção Ambiental Corumbataí, Botucatu e Tejupá","https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Corumbata%C3%AD,_Botucatu_e_Tejup%C3%A1",,,,,
0000.35.1700,,"APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí",,Área de Proteção Ambiental,Estadual,NA,NA,NA,Q48868254,"Área de Proteção Ambiental Corumbataí, Botucatu e Tejupá","https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Corumbata%C3%AD,_Botucatu_e_Tejup%C3%A1",,,,,
0000.53.1639,,APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO,,Área de Proteção Ambiental,Estadual,NA,NA,NA,NA,NA,NA,,https://uc.socioambiental.org/arp/1302,478492,https://www.protectedplanet.net/apa-da-bacia-dos-ribeiroes-do-gama-e-cabeca-de-veado-environmental-protection-area,
0455.33.1783,,APA DA FAZENDA DA TAQUARA,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1793,,APA DA ORLA MARíTIMA,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1777,,APA DA ORLA MARíTIMA DA BAíA DE SEPETIBA,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1791,,APA DA PAISAGEM E DO AREAL DA PRAIA DO PONTAL,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1795,,APA DA PEDRA BRANCA,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1796,,APA DA PRAINHA,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1764,,APA DA SERRA DA CAPOEIRA GRANDE,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1797,,APA DA SERRA DOS PRETOS FORROS,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
0455.33.1767,,APA DAS BRISAS,,Área de Proteção Ambiental,Municipal,NA,NA,NA,NA,NA,NA,,,,,
