cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,en_wkname
0000.00.0001,0.8786206896551724,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Anhatomirim Environmental Protection Area
0000.00.0002,1.293793103448276,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,Cavernas do Peruaçu Environmental Protection Area
0000.00.0007,0.7951724137931034,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,Barra do Rio Mamanguape Environmental Protection Area
0000.00.0010,0.7560303239145417,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,Petrópolis Environmental Protection Area
0000.00.0011,0.9517574086836664,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,Serra da Mantiqueira Environmental Protection Area
0000.00.0012,0.7760165403170227,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA,Serra de Tabatinga Environmental Protection Area
0000.00.0013,0.9924190213645762,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,Cairuçu Environmental Protection Area
0000.00.0016,0.9758620689655172,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,Guapimirim Environmental Protection Area
0000.00.0017,1.0731034482758621,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,Guaraqueçaba Environmental Protection Area
0000.00.0018,0.6023432115782219,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,Piaçabuçu Environmental Protection Area
0000.00.0019,1.4559164733178653,0,862,ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA,Delta do Parnaíba Environmental Protection Area
0000.00.0020,0.7512060647829083,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA,Carste de Lagoa Santa Environmental Protection Area
0000.00.0021,0.5651274982770503,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ,Ibirapuitã Environmental Protection Area
0000.00.0022,0.7643004824259132,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO,Igarapé Gelado Environmental Protection Area
0000.00.0027,0.6512749827705031,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,Morro da Pedreira Environmental Protection Area
0000.00.0029,1.3135888501742161,0,861,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,Serra da Ibiapaba Environmental Protection Area
0000.00.0030,0.2742504409171076,2,1136,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA,Buriti de Vassununga Area of Relevant Ecological Interest
0000.00.0032,0.7702464788732394,0,1136,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PÉ-DE-GIGANTE,Cerrado Pé de Gigante Area of Relevant Ecological Interest
0000.00.0034,7.561681598897312,0,1451,MONUMENTO NATURAL DAS ILHAS CAGARRAS,Ilhas Cagarras
0000.00.0036,0.4430856067732832,0,1063,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL,Ilha do Ameixal Area of Relevant Ecological Interest
0000.00.0037,17.00742311770944,0,943,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,Ilhas Queimada Pequena e Queimada Grande Area of Relevant Ecological Interest
0000.00.0038,0.4075975359342916,1,975,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA JAVARI BURITI,Javari-Buriti Area of Relevant Ecological Interest
0000.00.0040,1.257243195785777,0,1139,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATA DE SANTA GENEBRA,Mata de Santa Genebra
0000.00.0043,0.6940451745379876,1,975,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,Biological Dynamics of Forest Fragments Project Area of Relevant Ecological Interest
0000.00.0047,0.9481216457960644,0,1118,ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO,Terra do Meio Ecological Station
0000.00.0048,0.9209833187006146,0,1139,ESTAÇÃO ECOLÓGICA DE AIUABA,Aiuaba Ecological Station
0000.00.0049,6.920055134390076,0,1451,PARQUE NACIONAL DE ANAVILHANAS,Anavilhanas National Park
0000.00.0050,0.6944827586206896,1,1451,ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA,Aracuri-Esmeralda Ecological Station
