var,inferior,superior,estimate,std_error,z,p
count_area_km2_mod, 0.611180220, 1.361031979, 0.9861061, 0.1912922,5155,3.00e-07 ***
count_biomaAmazonia,-3.336116673,-0.723743532,-2.0299301, 0.6664340,3046,0.002319 **
count_biomaCerrado,-2.007300011, 0.410759060,-0.7982705, 0.6168631,1294,0.195638
count_biomaMarinho,-2.739371721,-0.043485847,-1.3914288, 0.6877386,2023,0.043053 *
count_biomaMata Atlantica,-3.405226171,-1.022232827,-2.2137295, 0.6079176,3641,0.000271 ***
count_biomaPampa,-4.853775314,-0.600614012,-2.7271947, 1.0850101,2514,0.011953 *
count_biomaPantanal,-3.505535878, 1.262550857,-1.1214925, 1.2163710,922,0.356529
count_governestadual,-1.432131569,-0.432731645,-0.9324316, 0.2549536,3657,0.000255 ***
count_governmunicipal,-3.800434920, 2.522775571,-0.6388297, 1.6130935,396,0.692085
count_groupUS,-2.749814603,-1.422030481,-2.0859225, 0.3387267,6158, < 2e-16 ***
count_pop_50k_mod, 0.093189605, 0.756672163, 0.4249309, 0.1692589,2511,0.012055 *
count_year_mod, 0.279809605, 0.675155177, 0.4774824, 0.1008553,4734,2.20e-06 ***
count_alt_r_mod,-0.251555660, 0.368942964, 0.0586937, 0.1582934,371,0.710794
count_bir_div,-0.003427621, 0.002972345,-0.0002276, 0.0016327,139,0.889113
count_acc_50k_mod,-0.319931938, 0.311687418,-0.0041223, 0.1611303,26,0.979590
zero_area_km2_mod, 0.617830855, 1.093127674, 0.8554793, 0.1212514,7055, < 2e-16 ***
zero_biomaAmazonia, 0.416762618, 2.330135724, 1.3734492, 0.4881144,2814,0.004896 **
zero_biomaCerrado,-0.138206495, 1.643039341, 0.7524164, 0.4544078,1656,0.097759 .
zero_biomaMarinho, 0.916406123, 3.011834543, 1.9641203, 0.5345579,3674,0.000238 ***
zero_biomaMata Atlantica, 0.157457698, 1.900144783, 1.0288012, 0.4445712,2314,0.020660 *
zero_biomaPampa,-0.542255163, 2.750550547, 1.1041477, 0.8400169,1314,0.188700
zero_biomaPantanal,-1.444122585, 3.758696630, 1.1572870, 1.3272742,872,0.383248
zero_governestadual,-3.335650434,-2.350613233,-2.8431318, 0.2512896,11314, < 2e-16 ***
zero_governmunicipal,-7.390202414,-4.303428439,-5.8468154, 0.7874568,7425, < 2e-16 ***
zero_groupUS,-3.814014866,-2.809928021,-3.3119714, 0.2561493,12930, < 2e-16 ***
zero_pop_50k_mod, 0.151679657, 0.648518429, 0.4000990, 0.1267469,3157,0.001596 **
zero_year_mod, 0.170957692, 0.486293670, 0.3286257, 0.0804443,4085,4.41e-05 ***
zero_bir_div,-0.001604664, 0.003594216, 0.0009948, 0.0013263,750,0.453221
zero_alt_r_mod,-0.322607881, 0.167538571,-0.0775347, 0.1250397,620,0.535205
zero_acc_50k_mod,-0.187070531, 0.290406017, 0.0516677, 0.1218075,424,0.671438
