var,inferior,superior,estimate,std_error,z,p,significance
count_acc_50k_mod,-0.3154350,  0.31862306, 0.001594,  0.161752,10,0.992137,
count_alt_r_mod,-0.2402759,  0.38026287, 0.069993,  0.158304,442,0.658383,
count_area_km2_mod, 0.6196614,  1.37328231, 0.996472,  0.192254,5183,2.00e-07, ***
count_biomaAmazonia,-3.3366309, -0.71941985,-2.028025,  0.667668,3037,0.002386, **
count_biomaCerrado,-2.0014996,  0.42792043,-0.786790,  0.619761,1270,0.204261,
count_biomaMarinho,-2.7543460, -0.05488724,-1.404617,  0.688650,2040,0.041383, *
count_biomaMata Atlantica,-3.4063400, -1.00641339,-2.206377,  0.612237,3604,0.000314, ***
count_biomaPampa,-4.8450050, -0.58559675,-2.715301,  1.086604,2499,0.012458, *
count_biomaPantanal,-3.4798022,  1.30543583,-1.087183,  1.220746,891,0.373150,
count_bir_div_mod,-0.3377949,  0.17364741,-0.082074,  0.130472,629,0.529316,
count_governestadual,-1.4259717, -0.42302920,-0.924500,  0.255857,3613,0.000302, ***
count_governmunicipal,-3.7825085,  2.53984054,-0.621334,  1.612874,385,0.700064,
count_groupUS,-2.7340835, -1.40550958,-2.069797,  0.338928,6107, < 2e-16, ***
count_pop_50k_mod, 0.1064141,  0.77512420, 0.440769,  0.170592,2584,0.009773, **
count_year_mod, 0.2761801,  0.67121849, 0.473699,  0.100777,4700,2.60e-06, ***
zero_acc_50k_mod,-0.1853737,  0.29206166, 0.053344,  0.121797,438,0.661405,
zero_alt_r_mod,-0.3205800,  0.16944896,-0.075566,  0.125010,604,0.545526,
zero_area_km2_mod, 0.6259636,  1.09865626, 0.862310,  0.120587,7151, < 2e-16, ***
zero_biomaAmazonia, 0.4985225,  2.33873100, 1.418627,  0.469450,3022,0.002512, **
zero_biomaCerrado,-0.1004615,  1.66352092, 0.781530,  0.450004,1737,0.082437, .
zero_biomaMarinho, 0.9417605,  3.02734044, 1.984550,  0.532045,3730,0.000191, ***
zero_biomaMata Atlantica, 0.2147384,  1.91954758, 1.067143,  0.434908,2454,0.014139, *
zero_biomaPampa,-0.5352805,  2.76043540, 1.112577,  0.840759,1323,0.185735,
zero_biomaPantanal,-1.3833888,  3.79947887, 1.208045,  1.322184,914,0.360888,
zero_bir_div_mod,-0.2072263,  0.20997248, 0.001373,  0.106430,13,0.989707,
zero_governestadual,-3.3383294, -2.35423089,-2.846280,  0.251050,11337, < 2e-16, ***
zero_governmunicipal,-7.3656039, -4.29169838,-5.828651,  0.784174,7433, < 2e-16, ***
zero_groupUS,-3.8139434, -2.81038224,-3.312163,  0.256015,12937, < 2e-16, ***
zero_pop_50k_mod, 0.1593211,  0.65359801, 0.406460,  0.126093,3223,0.001266, **
zero_year_mod, 0.1704908,  0.48565102, 0.328071,  0.080399,4081,4.49e-05, ***
