var,inferior,superior,estimate,std_error,z,p
count_acc_50k_mod,-0.7292438216,-0.290917744,-0.5100808, 0.1118199,4562,5.10e-06 ***
count_alt_r_mod,-0.0032824052, 0.465758383, 0.2312380, 0.1196555,1933,0.053294 .
count_area_km2_mod, 0.3088331336, 0.896113579, 0.6024734, 0.1498192,4021,5.79e-05 ***
count_biomaAmazonia,-3.9635037224,-2.005784426,-2.9846441, 0.4994274,5976, < 2e-16 ***
count_biomaCerrado,-2.6345777473,-0.868616066,-1.7515969, 0.4505087,3888,0.000101 ***
count_biomaMarinho,-3.1948138905,-1.135648539,-2.1652312, 0.5253069,4122,3.76e-05 ***
count_biomaMata Atlantica,-3.2836403765,-1.486706817,-2.3851736, 0.4584098,5203,2.00e-07 ***
count_biomaPampa,-3.0413188563, 0.134694634,-1.4533121, 0.8102224,1794,0.072858 .
count_biomaPantanal,-3.8397771390,-0.045537235,-1.9426572, 0.9679361,2007,0.044749 *
count_groupUS,-2.1437159031,-1.175429291,-1.6595726, 0.2470164,6718, < 2e-16 ***
count_year_mod, 0.2172645215, 0.513540028, 0.3654023, 0.0755819,4835,1.30e-06 ***
zero_area_km2_mod, 0.6188258766, 1.088186899, 0.8535064, 0.1197372,7128, < 2e-16 ***
zero_biomaAmazonia, 0.4344437272, 2.332550812, 1.3834973, 0.4842199,2857,0.004274 **
zero_biomaCerrado,-0.1316562894, 1.645272442, 0.7568081, 0.4533065,1670,0.095013 .
zero_biomaMarinho, 0.9234684931, 3.015725845, 1.9695972, 0.5337489,3690,0.000224 ***
zero_biomaMata Atlantica, 0.1663005816, 1.901127091, 1.0337138, 0.4425659,2336,0.019505 *
zero_biomaPampa,-0.5377761063, 2.753272955, 1.1077484, 0.8395688,1319,0.187027
zero_biomaPantanal,-1.4305901425, 3.765625638, 1.1675177, 1.3255896,881,0.378451
zero_governestadual,-3.3356140241,-2.350827369,-2.8432207, 0.2512257,11317, < 2e-16 ***
zero_governmunicipal,-7.3853952851,-4.301130798,-5.8432630, 0.7868166,7426, < 2e-16 ***
zero_groupUS,-3.8119943361,-2.809110695,-3.3105525, 0.2558424,12940, < 2e-16 ***
zero_pop_50k_mod, 0.1538506947, 0.643061848, 0.3984563, 0.1248011,3193,0.001409 **
zero_year_mod, 0.1708613941, 0.486114322, 0.3284879, 0.0804231,4084,4.42e-05 ***
count_bir_div,-0.0009644179, 0.004146033, 0.0015908, 0.0013037,1220,0.222383
zero_bir_div,-0.0016044475, 0.003593038, 0.0009943, 0.0013259,750,0.453318
count_pop_50k_mod,-0.1845330507, 0.362268625, 0.0888678, 0.1394928,637,0.524074
count_governestadual,-0.0810464952, 0.704297539, 0.3116255, 0.2003465,1555,0.119843
count_governmunicipal,-1.7095878079, 2.618212709, 0.4543125, 1.1040510,411,0.680709
zero_alt_r_mod,-0.3221617089, 0.167920091,-0.0771208, 0.1250232,617,0.537332
zero_acc_50k_mod,-0.1867951281, 0.290525221, 0.0518650, 0.1217676,426,0.670156
