cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0001,0.6331811263318112,1,1315,1.5064638783269961,0,1315,Área de Proteção Ambiental,Federal
0000.00.0002,1.2836501901140684,0,1315,0.4570342205323194,0,1315,Área de Proteção Ambiental,Federal
0000.00.0007,0.8028919330289194,1,1315,2.4600760456273765,0,1315,Área de Proteção Ambiental,Federal
0000.00.0010,2.0517897943640517,2,1315,2.4269406392694064,1,1315,Área de Proteção Ambiental,Federal
0000.00.0011,2.1537290715372905,1,1315,3.1506849315068495,1,1315,Área de Proteção Ambiental,Federal
0000.00.0013,0.9650190114068441,0,1315,0.7049429657794677,0,1315,Área de Proteção Ambiental,Federal
0000.00.0017,1.0395437262357414,0,1315,2.691254752851711,0,1315,Área de Proteção Ambiental,Federal
0000.00.0021,0.5213089802130898,1,1315,1.573384030418251,0,1315,Área de Proteção Ambiental,Federal
0000.00.0034,7.6,0,1315,30.388593155893535,0,1315,Monumento Natural,Federal
0000.00.0036,1.3930885529157668,1,927,1.4573820395738204,1,1315,Área de Relevante Interesse Ecológico,Federal
0000.00.0037,15.909541511771994,0,807,155.15665399239543,0,1315,Área de Relevante Interesse Ecológico,Federal
0000.00.0038,1.4713603818615753,1,839,1.5920852359208524,1,1315,Área de Relevante Interesse Ecológico,Federal
0000.00.0040,1.238285144566301,0,1003,5.421292775665399,0,1315,Área de Relevante Interesse Ecológico,Federal
0000.00.0043,0.6817640047675805,0,839,0.3706240487062405,1,1315,Área de Relevante Interesse Ecológico,Federal
0000.00.0049,6.511787072243346,0,1315,16.381749049429658,0,1315,Parque,Federal
0000.00.0050,0.6950570342205323,0,1315,0.726027397260274,1,1315,Estação Ecológica,Federal
0000.00.0052,0.7520912547528517,0,1315,1.9026615969581748,0,1315,Estação Ecológica,Federal
0000.00.0053,2.046277665995976,1,995,1.8073115003808073,2,1315,Estação Ecológica,Federal
0000.00.0054,0.6349809885931559,0,1315,2.450190114068441,0,1315,Estação Ecológica,Federal
0000.00.0057,1.63574144486692,0,1315,5.722433460076045,0,1315,Estação Ecológica,Federal
0000.00.0058,0.7254752851711027,0,1315,1.382800608828006,1,1315,Estação Ecológica,Federal
0000.00.0059,0.8475609756097561,1,821,1.2760456273764258,0,1315,Estação Ecológica,Federal
0000.00.0062,1.126331811263318,1,1315,1.0425855513307984,0,1315,Estação Ecológica,Federal
0000.00.0063,0.8051750380517504,1,1315,0.9551330798479087,0,1315,Estação Ecológica,Federal
0000.00.0064,0.6357414448669202,0,1315,0.6114068441064638,0,1315,Estação Ecológica,Federal
0000.00.0067,0.8242009132420092,1,1315,0.9847908745247148,0,1315,Estação Ecológica,Federal
0000.00.0068,0.8340943683409436,1,1315,1.2425855513307984,0,1315,Estação Ecológica,Federal
0000.00.0070,1.8433460076045627,0,1315,31.434980988593157,0,1315,Estação Ecológica,Federal
0000.00.0071,0.769406392694064,1,1315,1.5372907153729072,1,1315,Estação Ecológica,Federal
0000.00.0072,0.6927756653992395,0,1315,0.4036557501904037,2,1315,Estação Ecológica,Federal
0000.00.0073,0.7576126674786845,0,821,1.0936073059360731,1,1315,Estação Ecológica,Federal
0000.00.0075,1.0250950570342205,0,1315,3.9178082191780823,1,1315,Estação Ecológica,Federal
0000.00.0076,0.8930753564154786,1,983,3.8098859315589353,0,1315,Estação Ecológica,Federal
0000.00.0088,3.6595310907237515,0,981,7.226615969581749,0,1315,Floresta,Federal
0000.00.0089,1.829657794676806,0,1315,3.1863117870722433,0,1315,Floresta,Federal
0000.00.0091,0.5671462829736211,1,835,1.1946768060836501,0,1315,Floresta,Federal
0000.00.0097,0.6231155778894473,0,995,0.46001523229246,2,1315,Floresta,Federal
0000.00.0098,0.5595794392523364,0,856,1.271896420411272,2,1315,Floresta,Federal
0000.00.0105,0.5166498486377397,0,991,0.8751902587519026,1,1315,Floresta,Federal
0000.00.0112,3.3663484486873507,1,839,1.4665144596651445,1,1315,Floresta,Federal
0000.00.0113,0.7571580063626723,1,944,1.67351598173516,1,1315,Floresta,Federal
0000.00.0116,0.8343409915356711,1,828,1.2754946727549468,1,1315,Floresta,Federal
0000.00.0120,0.5202913631633714,0,961,0.3655750190403656,2,1315,Floresta,Federal
0000.00.0121,1.7838452787258248,1,880,1.21765601217656,1,1315,Floresta,Federal
