cod_cnuc,mean,na_rows,total_days
0000.00.0001,1.5064638783269961,0,1315
0000.00.0002,0.4570342205323194,0,1315
0000.00.0007,2.4600760456273765,0,1315
0000.00.0010,2.4269406392694064,1,1315
0000.00.0011,3.1506849315068495,1,1315
0000.00.0013,0.7049429657794677,0,1315
0000.00.0017,2.691254752851711,0,1315
0000.00.0021,1.573384030418251,0,1315
0000.00.0034,30.388593155893535,0,1315
0000.00.0036,1.4573820395738204,1,1315
0000.00.0037,155.15665399239543,0,1315
0000.00.0038,1.5920852359208524,1,1315
0000.00.0040,5.421292775665399,0,1315
0000.00.0043,0.3706240487062405,1,1315
0000.00.0049,16.381749049429658,0,1315
0000.00.0050,0.726027397260274,1,1315
0000.00.0052,1.9026615969581748,0,1315
0000.00.0053,1.8073115003808073,2,1315
0000.00.0054,2.450190114068441,0,1315
0000.00.0057,5.722433460076045,0,1315
0000.00.0058,1.382800608828006,1,1315
0000.00.0059,1.2760456273764258,0,1315
0000.00.0062,1.0425855513307984,0,1315
0000.00.0063,0.9551330798479087,0,1315
0000.00.0064,0.6114068441064638,0,1315
0000.00.0067,0.9847908745247148,0,1315
0000.00.0068,1.2425855513307984,0,1315
0000.00.0070,31.434980988593157,0,1315
0000.00.0071,1.5372907153729072,1,1315
0000.00.0072,0.4036557501904037,2,1315
0000.00.0073,1.0936073059360731,1,1315
0000.00.0075,3.9178082191780823,1,1315
0000.00.0076,3.8098859315589353,0,1315
0000.00.0088,7.226615969581749,0,1315
0000.00.0089,3.1863117870722433,0,1315
0000.00.0091,1.1946768060836501,0,1315
0000.00.0097,0.46001523229246,2,1315
0000.00.0098,1.271896420411272,2,1315
0000.00.0105,0.8751902587519026,1,1315
0000.00.0112,1.4665144596651445,1,1315
0000.00.0113,1.67351598173516,1,1315
0000.00.0116,1.2754946727549468,1,1315
0000.00.0120,0.3655750190403656,2,1315
0000.00.0121,1.21765601217656,1,1315
0000.00.0122,2.063165905631659,1,1315
0000.00.0124,1.0966666666666667,0,300
0000.00.0127,32.04030418250951,0,1315
0000.00.0129,2.2604790419161676,0,1336
0000.00.0132,2.506463878326996,0,1315
0000.00.0133,4.707762557077626,1,1315
0000.00.0134,3.1201520912547527,0,1315
0000.00.0135,17.930038022813687,0,1315
0000.00.0136,11.428136882129278,0,1315
0000.00.0137,18.46463878326996,0,1315
0000.00.0138,55.47300380228137,0,1315
0000.00.0139,119.02737642585551,0,1315
0000.00.0140,14.984790874524714,0,1315
0000.00.0141,14.252471482889733,0,1315
0000.00.0143,20.1893536121673,0,1315
0000.00.0144,120.44030418250951,0,1315
0000.00.0145,338.4038022813688,0,1315
0000.00.0146,17.231939163498097,0,1315
0000.00.0149,13.050950570342206,0,1315
0000.00.0150,10.406083650190114,0,1315
0000.00.0151,2.108745247148289,0,1315
0000.00.0152,48.5787072243346,0,1315
0000.00.0153,16.95361216730038,0,1315
0000.00.0154,68.95817490494296,0,1315
0000.00.0155,33.64714828897338,0,1315
0000.00.0156,11.695057034220532,0,1315
0000.00.0157,8.675285171102662,0,1315
0000.00.0160,46.52015209125475,0,1315
0000.00.0161,13.787072243346008,0,1315
0000.00.0162,16.868441064638784,0,1315
0000.00.0163,12.738403041825094,0,1315
0000.00.0164,7.055513307984791,0,1315
0000.00.0165,9.243346007604563,0,1315
0000.00.0166,32.46768060836502,0,1315
0000.00.0167,14.009885931558935,0,1315
0000.00.0168,7.66615969581749,0,1315
0000.00.0169,6.94828897338403,0,1315
0000.00.0170,58.63650190114068,0,1315
0000.00.0172,76.79239543726236,0,1315
0000.00.0173,17.238022813688215,0,1315
0000.00.0174,11.899619771863119,0,1315
0000.00.0175,29.784790874524713,0,1315
0000.00.0176,2.0499576629974596,2,1183
0000.00.0177,26.63726235741445,0,1315
0000.00.0178,12.345247148288973,0,1315
0000.00.0179,1.6365173288250212,0,1183
0000.00.0180,114.23117870722433,0,1315
0000.00.0182,12.050950570342206,0,1315
0000.00.0183,10.381749049429658,0,1315
0000.00.0184,20.870722433460077,0,1315
0000.00.0185,11.664638783269963,0,1315
