codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0004,Área de Proteção Ambiental Bacia do Cobre - São Bartolomeu,2015-07-01,2019-02-25,2014-05-04
0000.00.0005,Área de Proteção Ambiental da Bacia do Rio São João - Mico Leão,2015-07-01,2019-02-25,2013-03-04
0000.00.0006,Área de Proteção Ambiental da Baleia Franca,2015-07-01,2019-02-25,2013-04-16
0000.00.0014,Área de Proteção Ambiental de Cananéia-Iguapé-Peruíbe,2015-07-01,2019-02-25,2013-02-15
0000.00.0016,Área de Proteção Ambiental de Guapi-Mirim,2015-07-01,2019-02-25,2013-03-04
0000.00.0020,Área de Proteção Ambiental Carste de Lagoa Santa,2015-07-01,2019-02-25,2009-11-16
0000.00.0023,Área de Proteção Ambiental do Planalto Central,2015-07-01,2019-02-25,2015-06-18
0000.00.0025,Área de Proteção Ambiental Ilhas e Várzeas do Rio Paraná,2015-07-01,2019-02-25,2013-02-15
0000.00.0035,Área de Relevante Interesse Ecológico Floresta da Cicuta,2015-07-01,2019-02-25,2013-03-04
0000.00.0041,Área de Relevante Interesse Ecológico Matão de Cosmópolis,2015-07-01,2019-02-25,2013-02-15
0000.00.0042,Área de Relevante Interesse Ecológico Pontal dos Latinos e Pontal dos Santiagos,2015-07-01,2019-02-25,2012-05-23
0000.00.0045,Área de Relevante Interesse Ecológico Serra da Abelha,2015-07-01,2019-02-25,2011-12-30
0000.00.0049,Parque Nacional de Anavilhanas,2015-07-01,2019-02-25,2005-05-13
0000.00.0056,Estação Ecológica de Jutaí-Solimões,2015-07-01,2019-02-25,2013-02-17
0000.00.0074,Estação Ecológica Raso da Catarina,2015-07-01,2019-02-25,2008-11-21
0000.00.0077,Floresta Nacional Açungui,2015-07-01,2019-02-25,2015-06-14
0000.00.0078,Floresta Nacional de Caçador,2015-07-01,2019-02-25,2010-04-26
0000.00.0079,Floresta Nacional de Capão Bonito,2015-07-01,2019-02-25,2013-02-15
0000.00.0080,Floresta Nacional Chapecó,2015-07-01,2019-02-25,2008-06-03
0000.00.0085,Floresta Nacional de Balata-Tufari,2015-07-01,2019-02-25,2013-02-17
0000.00.0087,Floresta Nacional de Canela,2015-07-01,2019-02-25,2012-05-24
0000.00.0092,Floresta Nacional de Humaitá,2015-07-01,2019-02-25,2013-02-17
0000.00.0093,Floresta Nacional de Ibirama,2015-07-01,2019-02-25,2008-08-30
0000.00.0094,Floresta Nacional de Ipanema,2015-07-01,2019-02-25,2006-11-25
0000.00.0101,Floresta Nacional de Pacotuba,2015-07-01,2019-02-25,2013-03-04
0000.00.0102,Floresta Nacional de Palmares,2015-07-01,2019-02-25,2018-03-23
0000.00.0103,Floresta Nacional de Paraopeba,2015-07-01,2019-02-25,2013-03-04
0000.00.0104,Floresta Nacional de Pau-Rosa,2015-07-01,2019-02-25,2013-02-17
0000.00.0107,Floresta Nacional de Santa Rosa dos Purus,2015-07-01,2019-02-25,2013-02-16
0000.00.0108,Floresta Nacional de São Francisco,2015-07-01,2019-02-25,2013-02-16
0000.00.0111,Floresta Nacional de Sobral,2015-07-01,2019-02-25,2009-05-14
0000.00.0115,Floresta Nacional do Araripe-Apodi,2015-07-01,2019-02-25,2006-09-26
0000.00.0118,Floresta Nacional do Jamari,2015-07-01,2019-02-25,2008-05-14
0000.00.0119,Floresta Nacional de Jatuarana,2015-07-01,2019-02-25,2013-02-17
0000.00.0123,Floresta Nacional do Tapajós,2015-07-01,2019-02-25,2009-09-11
0000.00.0125,Floresta Nacional de Irati,2015-07-01,2019-02-25,2014-09-07
0000.00.0126,Floresta Nacional de Mapiá-Inauiní,2015-07-01,2019-02-25,2013-02-17
0000.00.0127,Floresta Nacional Mário Xavier,2015-07-01,2019-02-25,2008-10-02
0000.00.0129,Floresta Nacional de Passa Quatro,2015-07-01,2019-02-25,2006-01-09
0000.00.0130,Floresta Nacional de Passo Fundo,2015-07-01,2019-02-25,2012-05-24
0000.00.0131,Floresta Nacional de Piraí do Sul,2015-07-01,2019-02-25,2010-12-08
0000.00.0137,Chapada Diamantina,2015-07-01,2019-02-25,2005-05-04
0000.00.0142,Parque Nacional da Serra da Bocaina,2015-07-01,2019-02-25,2006-01-30
0000.00.0154,Parque Nacional da Tijuca,2015-07-01,2019-02-25,2004-10-07
0000.00.0171,Parque Nacional do Descobrimento,2015-07-01,2019-02-25,2007-10-13
0000.00.0172,Parque Nacional do Iguaçu,2015-07-01,2019-02-25,2004-11-05
0000.00.0181,Monumento Natural dos Pontões Capixabas,2015-07-01,2019-02-25,2010-01-07
0000.00.0186,Fernando de Noronha,2015-07-01,2019-02-25,2004-07-25
0000.00.0187,Parque Nacional Montanhas do Tumucumaque,2015-07-01,2019-02-25,2006-10-25
0000.00.0190,Refúgio de Vida Silvestre da Ilha dos Lobos,2015-07-01,2019-02-25,2009-09-11
0000.00.0218,Reserva de Desenvolvimento Sustentável de Itatupã-Baquiá,2015-07-01,2019-02-25,2009-09-09
0000.00.0219,Refúgio de Vida Silvestre das Veredas do Oeste Baiano,2015-07-01,2019-02-25,2009-09-11
0000.00.0220,Reserva Extrativista Auatí-Paraná,2015-07-01,2019-02-25,2009-06-19
0000.00.0221,Reserva Extrativista Barreiro das Antas,2015-07-01,2019-02-25,2009-06-19
0000.00.0225,Reserva Extrativista Marinha do Delta do Parnaíba,2015-07-01,2019-02-25,2009-06-19
