n,short_name,category,cat1,category_abv,protect_group,governance_lvl,year_establish,cod_cnuc,paddd,paddd_type,paddd_type.1,paddd_status,paddd_enacted,paddd_events,trends,hits,area_km2,access_50k,pop_50k,amp_div,bir_div,mam_div,sp_diversity,alt,tri,biome,altitude_r,Min_dist,Avg_dist
952,ESEC ESTADUAL DO PARA<cd>SO,Esta<e7><e3>o Ecol<f3>gica,ESEC,ESEC,PI,estadual,1987,0000.33.0725,0,none,none,none,0,0,0,152,49.01,12,295018.839622736,127,543,158,828,380.186304128902,69.2818479355488,Mata Atlantica,1295,31.05765415,1124.304348
777,APA JOANES - IPITANGA,<c1>rea de Prote<e7><e3>o Ambiental,APA,APA,US,estadual,1999,0000.29.0299,0,none,none,none,0,0,0,138,666.37,4,208227.497882366,48,343,128,519,52.8727229899498,10.8325649042267,Mata Atlantica,153,0,1305.52965
1573,PARNA DE SETE QUEDAS,Parque,PAR,PARNA,PI,federal,1939,60,1,degazette,degazette,Enacted,1,1,0,96,30.97,42,45958.1911492348,35,456,107,598,222.338533541342,2.48303432137285,Mata Atlantica,41,0,1514.591781
1572,PARES MASSAIRO OKAMURA,Parque,PAR,PE,PI,estadual,2000,127,1,downsize,downsize,Enacted,1,1,0,60,0.04,4,33864.4461098909,48,480,133,661,201,5.25,Cerrado,1,0,1552.244502
957,APA DA FLORESTA DO JACARAND<c1>,<c1>rea de Prote<e7><e3>o Ambiental,APA,APA,US,estadual,1985,0000.33.0730,0,none,none,none,0,0,0,40,32.67,2,278646.270274401,131,545,160,836,1071.83007518797,60.4774436090226,Mata Atlantica,641,33.74467174,1121.031956
621,PARES NHAMUND<c1>,Parque,PAR,PE,PI,estadual,1990,0000.13.1005,1,downgrade,downgrade,Enacted,1,1,0,27,563.35,239,3160.79381522536,85,532,172,789,60.044494935151,10.4417542364858,Amazonia,140,233.3671519,2338.427266
838,REBIO SERRA AZUL,Reserva Biol<f3>gica,REBIO,REBIO,PI,estadual,1998,0000.31.0389,0,none,none,none,0,0,0,27,74.07,171,5686.49112892151,45,324,133,502,513.376050420168,5.66439075630252,Cerrado,252,329.5895777,1140.441671
1570,RPPN SERINGAL TRIUNFO,Reserva Particular do Patrim<f4>nio Natural,RPPN,RPPN,US,municipal,1998,82,1,downsize,downsize,Enacted,1,1,0,24,0.53,308,730.087251067162,79,519,169,767,97.3333333333333,10.2222222222222,Amazonia,35,42.46231789,2401.824068
1571,PARES SERRA DOS PARECIS,Parque,PAR,PE,PI,estadual,1990,104,1,degazette,degazette,Enacted,1,1,0,18,363.2,162,1860.69654102996,81,467,139,687,330.25518134715,13.9729058721934,Amazonia,316,371.2669149,2015.541659
1252,PARES DA SERRA DE SONORA,Parque,PAR,PE,PI,estadual,2001,0000.50.0418,0,none,none,none,0,0,0,17,79.1,114,1261.88560862839,44,403,125,572,294.342342342342,15.8067084942085,Cerrado,279,248.7269856,1432.114523
576,ESEC ANT<d4>NIO MUJICA NAVA,Esta<e7><e3>o Ecol<f3>gica,ESEC,ESEC,PI,estadual,1996,0000.11.0769,1,downgrade,downgrade,Enacted,1,1,0,10,162.77,219,175.408210679889,101,529,157,787,134.429776192021,6.32671099578333,Amazonia,152,0,2369.244756
